Moves,Expected,Actual,Nodes,Time(ms)
6237377156733264225773,31973,31973,504804,44
55371476331451637535,31977,31977,550783,50
615475226615213226217557,-31972,-31972,26353,2
5127773675347376151,31976,31976,2523098,217
7717464322265274226441151,31962,31962,100839,10
55772343111646575236,31967,31967,5965292,536
72276133256716235275764,31970,31970,303799,28
65452257612667655615271112,-31964,-31964,16678,1
2577525532532441626,-31975,-31975,57014,5
35653272262316437167672,-31963,-31963,977017,99
1243234332773245342572475767,31967,31967,1188,0
7535125153114313,-31978,-31978,1332628,120
253527614166761447574,-31969,-31969,3346033,333
245715112455274665623715716,-31961,-31961,9662,0
56222765165254226556673774,31971,31971,98,0
77426557613323765616122535,31961,31961,18666,1
4644613266742167756722771541,-31964,-31964,5648,0
452631744441223222647115,31969,31969,2685,0
6462662734332655671542313,31972,31972,315288,30
4373163754466323,-31980,-31980,9362739,845
45542744735462742,-31979,-31979,3316,0
52225553533233247312617,-31971,-31971,719,0
3246237456535345371512,31975,31975,3319760,319
212532617775164141,31977,31977,7251834,675
67421253275551744225213,31972,31972,134633,14
33313546767235271352,31971,31971,110126,10
411364471753646417433177755,31962,31962,19700,1
1224277247774721613545115,-31969,-31969,35885,3
76543123446324223431432127,-31960,-31960,42288,4
5165132157277276134227475,31972,31972,175966,17
7646171641443471716532164,-31961,-31961,16659,2
27625643743643521753111,31972,31972,272566,25
522264452736756,31980,31980,4110348,341
57553212327714336423676622,-31960,-31960,264529,24
553332366276267756111555776,31970,31970,182,0
7725135517613477,31981,31981,51251898,4434
7555726532567141222715416466,-31968,-31968,3312,0
734476631737161177341324354,31970,31970,6293,0
62623724435526761122431133,-31960,-31960,29825,3
271411161457254361726,-31971,-31971,3858639,343
7617657562173664715555,31975,31975,304,0
777322726313643756152546,-31962,-31962,672654,59
16445643742326746657,31975,31975,6664988,575
3612577271337526673343274,-31965,-31965,70384,7
7125417577721225375266556,31970,31970,1060,0
65644113777615216373313743,31971,31971,6355,0
546167317562564251256237162,-31967,-31967,7015,0
6673377312746732,-31976,-31976,95912049,8177
4641133162345542,31979,31979,2286600,188
5365373625572524614352316,31972,31972,30543,2
657341635416555625471,31974,31974,10146,1
6747357277725656364415,-31972,-31972,233952,19
757154666551751363272,31972,31972,970290,86
6132623667546521255623127,-31961,-31961,26002,2
315225171236276777666271,31969,31969,164976,13
113422122167672244746117367,31960,31960,1802,0
5347374145757771622512325,31972,31972,32484,3
31124166611476652461,-31970,-31970,382855,35
62523333557451566631264,-31969,-31969,737897,64
713311533551231314755,31976,31976,10903,1
51137351146565342411,-31976,-31976,182126,16
3543166713733245231117,-31964,-31964,83281,8
3217735763522667143373,31973,31973,47324,4
6442147133575712244172,-31972,-31972,140158,12
22756642677321336736612773,31961,31961,11073,1
67647316672176756255331,-31973,-31973,24830,2
625162614337765,-31979,-31979,158119395,12923
47254525565152712,31972,31972,9436543,825
446755524273322124445127,31963,31963,75695,7
53337315253236517157261411,31961,31961,7736,0
52126366244377536726,-31976,-31976,27538,3
5266416344462647,31981,31981,39461180,3151
7112154467341431,-31976,-31976,25015519,2175
676524651176255741,31971,31971,43187313,3378
15721313466562712137,31971,31971,154194,12
71114661511246636,-31969,-31969,6226934,514
5641274173637715675655753,-31963,-31963,12351,1
65145566762633644215,31975,31975,121840,11
117315167545341124,-31976,-31976,169076,14
72572533563327373216,-31976,-31976,1204,0
1216176353566455625361277537,31959,31959,5919,0
513635225523631475657331,31973,31973,292,0
5226731653116776772711142,-31969,-31969,14728,1
2556551746465373772733636,-31963,-31963,53543,5
166676351322113324621,31976,31976,682560,60
234331235273567223257514116,31966,31966,16023,1
6464223476161123,-31976,-31976,28760490,2457
744756377222471165,31979,31979,2587418,206
3374372732172176214213256,-31963,-31963,104870,10
37327525173143631662325662,31961,31961,5584,0
5516724631166275312523525677,-31960,-31960,25340,3
1225772337767151,31981,31981,44162923,3743
37542511245635225762,31977,31977,8690102,707
65313213177411167266555,31972,31972,74768,7
62214763523662142136564,-31971,-31971,83389,7
1462571636416267177611,31965,31965,79324,7
317332211766171563334,-31965,-31965,1414908,139
7236227623622346474116546144,0,0,8391,0
35674332132366762241632,-31973,-31973,15625,1
6531112231141276724767552,31972,31972,47510,4
761471225521321,31978,31978,76066327,6429
136215442375624672646433,-31964,-31964,603254,70
552435552666617514721116,-31972,-31972,1129,0
253377617377674512,-31976,-31976,366037,42
1257676743157613416644,31973,31973,2331840,215
76515463143736654125112267,31969,31969,31944,2
225626516711326624,31979,31979,15356100,1286
1463662446336421315265524145,-31960,-31960,4135,0
31761163116675571675647534,-31966,-31966,6191,0
5722272622565513454114,31975,31975,643555,55
67774712211136444,-31979,-31979,38885585,3329
673777363513616553,31979,31979,804050,71
76351242633547775,-31977,-31977,15514761,1303
1441417214663341566431667,-31965,-31965,5113,0
415514133627224473362753153,31960,31960,245938,23
635476135716273141133365,-31970,-31970,30902,3
477144126313426127461,-31973,-31973,230870,20
34334747765464734726763,31964,31964,6052,0
346747427467645,-31981,-31981,36347604,2996
175475114216753,31976,31976,179201545,15374
4666145433446767141256217,31972,31972,344,0
217432442211554112765154263,31968,31968,1143,0
624115772263235661114,31976,31976,8209583,787
64241512462236624761276154,31963,31963,2503,0
52211255312133125634616,-31965,-31965,54076,5
66771426326433735127,-31976,-31976,494184,42
33532452223727716571436,31974,31974,587564,54
27347561567762333731456,31974,31974,213523,21
21133461363327566,-31977,-31977,14416347,1431
46252526616224145,31980,31980,101457,7
153313313355666662264221772,-31965,-31965,4941,0
67152543366667234631,31975,31975,1386197,153
4266771537147151161265456,31964,31964,110330,14
3672655672677311226162515375,-31962,-31962,2563,0
214562532727125124366,-31975,-31975,601779,58
654242261241325277656,-31973,-31973,162917,15
274571537133166,-31981,-31981,300478602,25536
2335622656544266,31981,31981,659754,52
47657616177335617,31978,31978,44934492,3965
66277372515612415714326526,-31960,-31960,114240,10
65447631746633432,31974,31974,52038364,5048
61256717161231633364541264,-31970,-31970,59860,6
751524275367233,-31981,-31981,8127283,818
27537226473133277457,31977,31977,195701,18
3764775353221216617727,-31972,-31972,703474,65
615754153753116622225,31974,31974,1712135,157
33753425365763223715716,-31971,-31971,44291,4
1727575555222572716342,31975,31975,3449,0
74421257271711522275457156,31969,31969,5593,0
3737766255453523326317,-31972,-31972,11063,1
557457743533472512474,-31965,-31965,29491,3
455376753644775,31982,31982,120186580,10334
326157266422225711166176537,-31961,-31961,4278,0
576313346257217,-31975,-31975,84860030,7692
1276412177742154542342,-31968,-31968,2013361,205
41355575561436112543372,31972,31972,55476,5
4351173431662212533161,31975,31975,99973,11
153231773415115653317,31976,31976,221496,21
5375431675567753127241,-31974,-31974,473638,46
55236624772647775765656242,31965,31965,6066,0
4337114775151356511763,31975,31975,17262,1
241345732332751277612343,-31970,-31970,54957,5
5631251443233752566666522,-31963,-31963,31372,3
35177261325521462321147,-31973,-31973,941620,93
314533115511644325172,31970,31970,422511,39
44623334362541474756531277,31971,31971,3093,0
1236157641351167,31981,31981,2010594,221
77767742653371146122163,-31973,-31973,61930,8
32167663733423531,31976,31976,3128234,285
33112517243762366323,31971,31971,684446,70
123614533465354124576755477,-31961,-31961,51634,6
62577765264662464354222415,31961,31961,15248,1
716525344326724636641464,-31970,-31970,43076,4
3463711275455153263,31978,31978,16439661,1506
76171237167365516,-31975,-31975,11305323,1050
13517676612754272,-31975,-31975,111737013,10423
3121656677155256652245727,31972,31972,1732,0
6671342317463724221341,-31972,-31972,3812620,364
74722511513475576,31976,31976,15706079,1486
76767233646257435427223,-31973,-31973,15532,1
3152434513377673741721437,31972,31972,42054,4
651625624217441371222,31976,31976,730655,67
1572647636344162125363,-31972,-31972,258379,26
777536627266251665425543323,-31959,-31959,35160,3
174561754244242722567345616,-31969,-31969,133528,13
4545162252112372421456411,-31971,-31971,56703,5
62511774563162573,-31977,-31977,33921442,2927
5563232617432661324324,-31968,-31968,659992,64
671211264625112535127342,-31972,-31972,258,0
131775326121155635,31977,31977,975529,88
6122736774334466,31979,31979,24561646,2235
1745422156421455562753734,-31967,-31967,64302,6
6325253222325117635317,31975,31975,274,0
231316746655153,31978,31978,22346899,2201
43565412612611137127,31977,31977,954761,103
6631316467572263762112,31965,31965,550985,52
1672663733642175625624,31967,31967,79892,7
527546732264211663334217,31971,31971,362610,33
65524411571346773642,31977,31977,459507,40
352271473763224126765,31976,31976,43336,4
56116666615751757224342522,-31970,-31970,117270,12
671757717572516436431112455,-31969,-31969,10418,1
257427522661715735471611166,31960,31960,7683,0
672542462314425227566655116,-31969,-31969,8662,1
63445725523511317471114443,-31962,-31962,57522,6
1674425127642611563,-31977,-31977,384955,44
7264124177352645445455511,31972,31972,20334,2
717136557165661421163724427,31970,31970,7079,0
5751147111313655522373756734,31969,31969,1265,0
62166143351551165412,31977,31977,213367,23
2541731227572364,31977,31977,125549569,11614
7715267571675451,31973,31973,24423049,2307
2116712115322236,31973,31973,118528175,10793
132163523461151135474272234,31960,31960,5483,0
566751176213355261352621,31973,31973,4137,0
1454766773217323,-31978,-31978,150253439,13720
737567457626375167,31977,31977,34789574,2923
272132777317137311,-31972,-31972,5113295,445
5471473127636265766153651,31972,31972,5260,0
43235141376556763511126,-31963,-31963,1015214,88
7761255235627741651,31974,31974,4552086,372
3166375423263261,31981,31981,1449883,118
76461761567743317522656,31970,31970,433492,38
7271123127671772122566466,-31967,-31967,8105,0
427225323232646753334,-31971,-31971,120428,11
35772754135363337166246715,-31962,-31962,26571,2
5442261561712445513215216,-31967,-31967,34818,3
56377543127623374272,31975,31975,327689,28
64632371333542212166,31973,31973,19724605,1647
274163712467424663152275,31969,31969,77039,6
41115254224427567343271245,31969,31969,9267,0
631572522675564,31982,31982,413964386,34762
214374234352367335546255,31973,31973,203074,19
2345313466774477,31979,31979,13749959,1161
7562345526246522155126716336,31969,31969,65,0
451351361757547,-31975,-31975,161914812,13315
657446631716224611445,-31971,-31971,489161,45
642637516112414536232672,31971,31971,94774,9
6746621145113653,31979,31979,1031035,80
117565132725373332367257,-31970,-31970,27048,2
53565173153713361122316574,31963,31963,28061,2
6237211342355372677176635764,-31958,-31958,12041,1
26527763177622757,31974,31974,17276310,1515
3521652224746227137556,-31974,-31974,8179743,794
32212455567361153575,31977,31977,178152,16
571723733142554614255144743,-31961,-31961,8739,0
1761774337227612344154,31975,31975,732701,64
22631275776731721667,-31972,-31972,922451,80
3764661236564541716555245331,-31966,-31966,5487,0
43656176526175176754774,-31969,-31969,167266,15
75775566566233246715634143,-31960,-31960,221138,23
516725531135142133346376125,31964,31964,4681,0
5461515637256422331,31976,31976,21229991,1949
243676453345127761,31979,31979,11564876,1015
552272253621317,-31981,-31981,937185,98
12717372666736667153145,31972,31972,565875,60
52466553571112435,-31977,-31977,15336976,1330
33712472456621324462674,-31971,-31971,99467,9
452366522526751765546672,-31964,-31964,86583,8
15311751773333543561,31977,31977,1898726,157
15365171721131575625,31977,31977,330351,28
5367372637237146,31981,31981,3934599,385
27566561137332123,31980,31980,22618839,2021
76763344647137153316,-31976,-31976,2983406,278
236472222161726,-31973,-31973,111980841,9961
5276653435665725461165222724,-31964,-31964,2782,0
35526131747533355654136767,31967,31967,13124,1
1251211227266116753723435,31964,31964,14564,1
656466147711311636134335,31973,31973,8142,0
13526754177255415625,31975,31975,192202,16
64164156564361224776731,-31971,-31971,309853,28
34526374776374375371,-31976,-31976,12937,1
71537134226736252,-31979,-31979,3136371,280
554614441171777213253413745,31964,31964,16523,1
61155524541272735,31978,31978,4342382,394
64625444154736261165562,-31971,-31971,96069,8
143344155574773553,-31972,-31972,1436954,114
422146117344532457,31979,31979,7910605,697
576373335611556162765,31972,31972,466470,41
12151643562152353534775,-31973,-31973,80534,7
111664475267424,-31975,-31975,224653000,19489
7545616214254652367537357376,-31968,-31968,1984,0
71627112343522227,-31973,-31973,140678241,12892
13633551437347572,-31969,-31969,108376046,9950
4515725625414474654771615772,31961,31961,4896,0
542134767774477236233554221,-31967,-31967,20297,2
653374454445376151457752,31965,31965,193294,18
44422224541125425667733615,-31964,-31964,13871,1
2513553227135527335262,31971,31971,10412,1
725736672563533666244152,31969,31969,92055,7
673533555541161752762,31976,31976,7170,0
714613617427757763363,31976,31976,71043,6
41355523374151355373,31969,31969,160570,15
2776735234471321,31971,31971,243529363,19835
1163366775762751364213557,-31961,-31961,144781,13
7714331351165441454612735457,-31960,-31960,6024,0
6172754557553152174422226,-31971,-31971,3281,0
2576672462527627721117,-31966,-31966,230023,22
72352462655576515266236,31974,31974,1108,0
7423547216653427,-31980,-31980,6812597,572
552422714576314453236724,-31966,-31966,1037383,86
55575442314521147652717741,31969,31969,18131,1
4614725646672422715321763,31964,31964,81080,8
1264537524755243,-31972,-31972,261291919,21774
521741772613537115,31979,31979,1589752,135
47537477126734163711636413,-31968,-31968,20371,2
231135572561656671761237762,31962,31962,2921,0
13547614515777224,-31979,-31979,28788153,2259
13224213425733743767451124,31971,31971,79560,7
174471432567412474675,-31975,-31975,77440,7
6363361177611667737171332522,0,0,4486,0
637337257725337225324711,-31964,-31964,16434,1
4561722226547731671546735125,31963,31963,21177,2
164757716154412622631765,31971,31971,340043,29
4571341457274476,31981,31981,7066976,626
215551541524426475231361147,31964,31964,3753,0
354151577524576533141147463,-31967,-31967,20973,2
765745224471131366346676,-31968,-31968,27841,2
366623531131151274,-31978,-31978,1522559,128
452261517614267754556,31974,31974,1270609,98
65115542742611761521556664,-31966,-31966,2552,0
5717773334742522,-31978,-31978,11677268,1062
711523176631346657,31977,31977,33099993,2830
2167131211375646716755766,-31961,-31961,61434,6
4771157465111222122557,-31964,-31964,1279566,134
164637774171636644136,-31975,-31975,111369,8
576735132233641141312615625,31970,31970,5893,0
3735213121117373,31981,31981,93099725,7662
74174352211462671123544,31974,31974,2797,0
471152212446413456166732422,-31963,-31963,3831,0
672473313477471617134,-31965,-31965,1131463,97
5311255337611367334742767,-31971,-31971,15563,1
5353262674334367,31981,31981,988285,79
56551242266771566625,31969,31969,594940,48
5611761122133562247367317662,0,0,40280,3
361716714137776256457612,31971,31971,73888,6
271637325162741125576773,31973,31973,105392,9
3152746426444471,31975,31975,222087745,19454
653374435673325657462521,-31962,-31962,92630,9
154361241147764615124457,31963,31963,79813,8
7766743612626774354641,-31964,-31964,95661,8
316375567543424111633,31974,31974,548274,49
6651344713664721127711436,-31971,-31971,41191,3
62626776455432751522366,31972,31972,351259,34
45444262544751513662162,-31965,-31965,52988,4
7777272752336364133166,-31968,-31968,86415,7
714113112326566,31976,31976,37433653,3261
341756577731526635547163374,-31969,-31969,1934,0
77171776512252216335442132,-31970,-31970,91204,9
11722576462266212,31970,31970,22311284,1984
767552421617771476216,31966,31966,1183722,106
5624757235427647663,31978,31978,1435190,116
644473543611775232651511,-31970,-31970,37951,3
257173733247526434154567,-31970,-31970,523812,47
67354634776576633332241647,-31960,-31960,15347,1
532572154726556543121,-31975,-31975,872196,79
35244633446634337725,31977,31977,103874,10
5454413712571127337531167342,31959,31959,5932,0
522215614743211756565472646,-31963,-31963,3220,0
4732351755625162332423553,31968,31968,29030,2
256633151676244167144,31976,31976,145498,12
764554424414753251553326,31967,31967,28823,2
4226116661757364136155573733,31963,31963,14399,1
7415574512365413643162664171,-31968,-31968,6133,0
3177242763546343557456356,31968,31968,375040,32
72167163255625775222515773,-31970,-31970,1852,0
522774332373352444327215544,-31965,-31965,5997,0
544231711647547,-31979,-31979,73207513,6509
247245751521276652235,31976,31976,866686,80
1322337722672632644713,31967,31967,3899788,362
6576551771641561711664,-31970,-31970,204077,21
65672142226216563,-31975,-31975,42344428,3543
5112717346132321,31975,31975,6840063,583
5576756557216531177411466147,31961,31961,1074,0
214347237517627556116725221,-31963,-31963,49456,4
7135375113763627325137247522,31965,31965,6955,0
51763673653326673,31980,31980,76458,5
54342553271755531116,-31976,-31976,5061527,443
57232172343423576361372,31974,31974,4060,0
31546724122354155736,-31976,-31976,56911034,5036
457244262442456377717,31976,31976,180215,16
1613241156523624733121626632,31967,31967,544,0
21146623261347736262316521,31967,31967,6050,0
663216754667364144727733,31973,31973,39933,4
35764177225314742723,31967,31967,512635,46
21762631757232176241251173,-31970,-31970,7824,0
32726444675447122372436,31972,31972,12230,1
512312223264253653513371756,-31961,-31961,2842,0
5744111413176361726724462672,-31968,-31968,7739,0
6461131311212576773663,31973,31973,1130141,103
32432146551413715126325,-31963,-31963,663689,57
66713424111135136347554532,-31960,-31960,54922,5
6742736217132733,31977,31977,43381661,3938
4215331623757645116617,-31974,-31974,367484,32
17762261125547564324,31973,31973,5979409,582
7756225441377734752623655312,-31960,-31960,14424,1
543311515517337352275236217,-31961,-31961,1314,0
64261777527517311,31976,31976,21436717,2008
77213446511764261,31980,31980,68112712,6740
64266616555117511164775,-31965,-31965,12146,1
553122252255366416672651617,-31961,-31961,1857,0
66661515542276611112254557,31961,31961,2862,0
331472764511463715455277515,-31967,-31967,35805,3
5276266432336311,31981,31981,2438210,227
3634777116631113471656222762,-31960,-31960,12676,1
342437265337624534211662561,31960,31960,11044,1
1122662611655247736,31978,31978,2548655,249
26136515766765424111523,31974,31974,48668,11
17671356146161215227733537,31971,31971,3196,1
4223111154732627716212,31975,31975,84527,13
1552364512263757,31971,31971,535859035,48995
14336633766174161,31976,31976,5579809,518
433437441334614,31972,31972,22081081,2211
317317561244255535722245,31973,31973,149738,15
1477776334232375,-31978,-31978,6598749,640
7572273223262531115,31974,31974,10728449,1116
6111677345545555334,-31977,-31977,635174,63
57375435352277175347523,31968,31968,17476,2
7114325726256124166,-31969,-31969,50041280,5007
72234371411633364462,31969,31969,612525,63
13547143466133731665,31977,31977,225323,20
217524776745435,-31977,-31977,210326650,21719
37615435621663361154357,31964,31964,1283392,138
6237474463262472731,31972,31972,6790430,702
5277261417355252211,31976,31976,18912273,2055
3515265124717462,31979,31979,279644161,27223
5331277715432731667457664,-31963,-31963,271623,28
1451667413611331645775,-31974,-31974,63498,6
13265413456751323,-31979,-31979,16121455,1698
241133134334725213,-31972,-31972,332429,30
54325455317727725621562,31972,31972,123169,13
3575153777526353227,31976,31976,294893,28
143626614662216777553213134,31970,31970,4768,0
571462614461771671477313646,31960,31960,4141,0
364754114166311512427446566,-31961,-31961,2650,0
73321467533166666137,31977,31977,5524941,543
2371466433575334551674436415,-31962,-31962,6352,0
16422175612432135416,-31966,-31966,764227,121
5276443736337666737437,-31974,-31974,7499,0
6415732265663736331641,31975,31975,23538,2
7264161461137441213767542,-31971,-31971,36212,3
5623757255162766776425623513,-31962,-31962,7593,0
1126375417175373756651144467,-31966,-31966,22543,2
77211753742136577534631245,-31962,-31962,140190,14
36771452773433127,31980,31980,21401857,2163
714345541261521311,31977,31977,3596559,333
421362276243533114412311574,31970,31970,4138,0
7113237433521353552456541116,-31968,-31968,3606,0
4136775761671675515642271144,31961,31961,11724,1
457377456737766126,31977,31977,613263,62
24555664444611472763,31975,31975,8025285,809
53257461522564167766157121,-31960,-31960,16977,1
433764567315327323171114572,-31959,-31959,54429,6
51267361661663277771574532,-31960,-31960,53419,5
7551717627361611676352263,31962,31962,7657,0
6541145115562446114635,-31964,-31964,147926,15
1755211422257654226761774571,31969,31969,324,0
6421345224137146326472335742,-31960,-31960,6208,0
1647114453755655641534,-31970,-31970,2640,0
4756455314132152114766,31971,31971,217428,23
6171232223263263647766433775,-31966,-31966,995,0
7742177173243762443335224351,31961,31961,19968,2
7152534222742613271,31972,31972,1213467,124
561371411431773747752431533,-31961,-31961,8817,0
1613336745457756,31979,31979,23353229,2500
376452474437762,-31977,-31977,164425620,14274
572476333125525377,-31976,-31976,376717,32
3564157743133353261257214,31972,31972,84566,8
1664147135127321477764451272,31969,31969,635,0
75335564414236666211232,31974,31974,222061,33
4211175776117615372373,-31974,-31974,26390,6
77666566242644114474732,-31973,-31973,25119,4
522653224431472571,31979,31979,575925,50
24735515347775173271,-31972,-31972,1292582,113
3546671777347132555762115,-31967,-31967,151893,14
2456167667444441767,-31975,-31975,836852,79
7424446141735466556,31978,31978,10476154,997
51762376556762723757163,-31973,-31973,648,0
272116367367375626713236544,-31969,-31969,4731,0
517727725412156674511725,-31966,-31966,15230,1
1663736455263715774243445376,31967,31967,15154,1
5124561255535672776341,-31974,-31974,331711,28
3754173252344523473261532172,31969,31969,1917,0
2576372741222317334632,-31972,-31972,1860641,163
217377732134276251127132533,-31965,-31965,1420,0
661161322773132515125225566,31970,31970,740,0
7531323267151453753355777462,31963,31963,776,0
66674351562312313766554,-31967,-31967,380711,31
1256763536427165135112651377,31961,31961,2158,0
152117431454445563245653333,31960,31960,1142,0
146712465654377,31980,31980,63141007,5325
361254223235515273231131755,31970,31970,87,0
2577337355167475275,31968,31968,2822372,263
161713446625717245765135134,-31967,-31967,51564,5
13443751134264653664731463,31965,31965,3447,0
14327547272131721267655331,31967,31967,228654,20
34773631712336641477,-31974,-31974,2961563,281
313273421166737347312517621,31960,31960,23306,2
53766652752315521524333,31974,31974,7863,0
54212234444632567373,31975,31975,350613,35
52226415223772575574314411,31961,31961,44925,3
411556523545533371111767,31973,31973,3876,0
716556436314714221112544,31963,31963,327706,31
3313523455575312474,-31975,-31975,2976656,276
327121732224331115642317375,31962,31962,1225,0
36713761254416115374,-31976,-31976,2551025,219
52651674611142231145,31971,31971,1062296,104
376256261132251421617765761,31970,31970,865,0
521714634123273,-31979,-31979,94811015,8284
177722237473536662413763,31973,31973,21543,2
273154336762351535,-31976,-31976,6279159,532
72721732245155361665171,-31973,-31973,1556001,154
1163551237363473212,-31977,-31977,11333,0
2233572322143744675323611166,-31964,-31964,31079,2
276541411372776625366,-31975,-31975,29297730,2608
2233531575313362771,31978,31978,3798,0
52665724323164162516,-31966,-31966,3127069,307
5225665336574671,31973,31973,266261016,22444
557335257742766324,-31978,-31978,6539288,542
112366437245256517762462564,-31961,-31961,11180,1
144642673121471624,31975,31975,6208329,573
113566453263222,31978,31978,758180822,61980
4752664674771127654556761355,31963,31963,1264,0
265446526447452154512137,31969,31969,61744,6
5246172147526627,31977,31977,65166909,5781
336732217267712776,31979,31979,15320102,1310
1344344617745227224757755,31968,31968,67466,7
413132371273463,-31973,-31973,90082810,7392
4545145444217321376122,-31974,-31974,8987,0
3415321442446226722164,31965,31965,369797,33
363373362732714,31974,31974,9419393,806
7223711312463457742172,-31966,-31966,308186,27
1673572253241546735775,-31974,-31974,440354,36
5253754644476374,-31980,-31980,177883550,15097
173255714427275276324255754,-31965,-31965,1060,0
3536522112241476625276676473,31967,31967,17738,1
64114656363442233245116161,-31960,-31960,9150,0
424176163735723327633527,31973,31973,153,0
3362743636612356225,-31975,-31975,81079,8
5253234266522712654165,31975,31975,551,0
755532512535461132632226763,31960,31960,15834,1
751743516414567611332265137,31968,31968,29760,2
477653366263777434761512,31967,31967,489107,42
24354567531125445477,31977,31977,5115891,436
154466555666554263777,-31967,-31967,147554,14
57421352523331332557157476,31969,31969,3631,0
672166346712134635114,-31975,-31975,1469346,124
664111771115734446237,31968,31968,6581553,582
226534721531414177532225,-31968,-31968,264384,23
775173265766431722361,31972,31972,7124031,622
345171275732157157573322563,-31961,-31961,11947,1
3251242415571254711272,-31964,-31964,162370,15
547547271651712377362,-31975,-31975,990573,87
616663112446444747,31971,31971,3239233,257
577227455155173356147441,-31962,-31962,65479,6
345251445445513233731635164,31964,31964,262,0
75222132555374626,31980,31980,44323235,3852
22557137771115142135,-31972,-31972,1580084,138
13177667515623611132,31973,31973,6211392,556
14522765622144274457,-31970,-31970,2466283,240
67625426656342444254571371,31971,31971,127739,14
624713312775721637,31979,31979,22868146,2135
734333456723144234465215115,31962,31962,26738,2
77642771625636641471,-31976,-31976,166440,16
217347332642415271341,-31965,-31965,1234293,112
7772455251222341,31977,31977,3703142,324
33664613453264446172142161,31961,31961,2417,0
3373573667612315662134622212,0,0,1160,0
1566542376673667757257213,-31961,-31961,7047,0
2676635557525246757177662212,31961,31961,208,0
623677332537431673,31979,31979,1434575,137
2671516611342135,31977,31977,20922152,2105
2147134334617577453356,31973,31973,618115,71
7313245346756533254712557,31962,31962,457099,53
5557417272115455114727,31975,31975,24306,3
13711735217413157357376665,-31964,-31964,16771,2
26226166136627433115144772,31971,31971,9542,1
6637642476564146317,-31975,-31975,1250660,140
62153625114652421661517273,-31970,-31970,55472,6
7354412111344263,31981,31981,1059126544,90024
722546467567573521513,-31975,-31975,1123043,97
4661157527162453,31979,31979,141368919,11637
22262653716767525527167731,31971,31971,4697,0
341264564424372,31982,31982,566359196,46301
7124356714137472554,31978,31978,92001878,7937
13551113316167677436,31973,31973,2528570,237
123575222522564511457477767,31970,31970,728,0
4161341713167472314367264532,-31968,-31968,1634,0
554231264461461,31980,31980,17229327,1416
617567156254322,-31979,-31979,159547362,12793
5321121447277263764,31978,31978,6058519,527
7462322732111141233457652,31972,31972,442566,40
77133253243711345215,31975,31975,9355819,773
2441725635216363355357275122,-31960,-31960,3861,0
6664572674646245244,31978,31978,213928,19
2566744121724414714221571,31962,31962,3813,0
2443337161355136341,31978,31978,2252513,183
71522676773355714465725241,-31968,-31968,30575,3
74315227617225643,31978,31978,7930997,634
73312524142277445462,31977,31977,3269,0
517617556211417651554,-31967,-31967,196084,18
57454717232331147,31972,31972,6324281,552
713614717442412137325317734,-31961,-31961,3222,0
625713117734351421,31975,31975,13994511,1115
6623551213612752377432,31971,31971,57092,4
7752364565751166,-31976,-31976,75977976,6446
77126542431321257232,31977,31977,75880,7
77436375115571552576161,31970,31970,636723,61
7565276653324621365353212265,31969,31969,484,0
